geneName	chr	start	end	strand
RNU6-746P	chr4	56160657	56160765	(+)
RNU6-939P	chr2	37558913	37559019	(-)
RNA5SP41	chr1	13949679	13949779	(-)
RNU6-276P	chr4	56664802	56664897	(+)
RNA5SP48	chr1	52439082	52439207	(+)
RNA5SP161	chr4	56963556	56963670	(+)
RNA5SP162	chr4	57197343	57197383	(-)
RNU6-30P	chrX	100888994	100889100	(-)
RNU6-587P	chrX	100946553	100946658	(+)
RNA5SP74	chr1	204531541	204531649	(-)
RNU6-1329P	chr12	93346415	93346521	(+)
RNA5SP106	chr2	148471024	148471123	(-)
RNU6-744P	chr2	114438688	114438794	(+)
RN7SKP255	chr14	90178855	90179167	(+)
RNU6V	chr1	110134156	110134262	(-)
RNA5SP267	chr8	60368444	60368569	(+)
RNA5SP493	chr22	22146723	22146813	(+)
RNU6-214P	chr6	120847440	120847546	(-)
RNA5SP215	chr6	121007767	121007888	(+)
RNY4P13	chr17	28386070	28386165	(-)
RNY4P13	chr17	28386072	28386165	(-)
RNU6-851P	chr2	39111701	39111807	(-)
RN7SKP291	chr1	55842199	55842525	(-)
RN7SL580P	chr6	51840458	51840755	(+)
RN7SL564P	chr6	123066419	123066693	(+)
RNA5SP187	chr5	87570075	87570193	(-)
RNA5SP216	chr6	126300958	126301080	(-)
RNU6-263P	chr6	18307204	18307310	(-)
RN7SL128P	chr6	20421812	20422118	(-)
RNA5SP172	chr4	178378265	178378382	(-)
RN7SL718P	chr19	41696852	41697134	(-)
RN7SKP240	chr6	22085773	22086147	(+)
RNU6ATAC10P	chr5	129310584	129310694	(+)
RNA5SP191	chr5	129450102	129450203	(+)
RNA5SP62	chr1	163438286	163438395	(-)
RN7SK	chr6	52860418	52860748	(+)
RNA5SP218	chr6	134578173	134578281	(+)
RN7SL398P	chr10	33577234	33577529	(-)
RNU6-847P	chr10	35215703	35215810	(+)
RNA5SP514	chrX	131072874	131072984	(-)
RNA5SP255	chr8	13393538	13393644	(+)
RNA5SP55	chr1	117504969	117505093	(-)
RNU6-98P	chrX	131714145	131714251	(-)
RN7SL665P	chr9	133275653	133275950	(+)
RNU6-471P	chr6	27564191	27564296	(+)
RNA5SP50	chr1	74215200	74215306	(-)
RNU6-622P	chr1	75648730	75648832	(+)
RNU6-5P	chr2	175422694	175422800	(-)
RN7SL4P	chr3	15780022	15780315	(+)
RNU6-16P	chr11	88345973	88346079	(-)
RNA5SP22	chr1	78560491	78560599	(-)
RNU6-48P	chr1	27651710	27651816	(+)
RNU6-550P	chr4	121731624	121731724	(+)
RN7SKP137	chr4	121982327	121982633	(-)
RNU6-1249P	chr17	53629171	53629281	(+)
RNA5SP112	chr2	178003427	178003525	(+)
RNA5SP77	chr1	227748882	227749001	(+)
RNU6-23P	chr16	70479196	70479302	(-)
RNA5SP220	chr6	140479728	140479831	(-)
RNU6-12P	chr8	119988752	119988858	(+)
RNA5SP19	chr1	228743494	228743602	(+)
RNA5S1	chr1	228746015	228746133	(-)
RNA5S2	chr1	228748256	228748374	(-)
RNA5S3	chr1	228750497	228750615	(-)
RNA5S4	chr1	228752738	228752856	(-)
RNA5S5	chr1	228754979	228755097	(-)
RNA5S6	chr1	228757194	228757312	(-)
RNA5S7	chr1	228759414	228759532	(-)
RN7SL396P	chr8	120874902	120875181	(+)
RNA5S8	chr1	228761656	228761774	(-)
RNA5S9	chr1	228763895	228764013	(-)
RNA5S10	chr1	228766137	228766255	(-)
RNA5S11	chr1	228768378	228768496	(-)
RNA5S12	chr1	228770618	228770736	(-)
RNA5S13	chr1	228772843	228772961	(-)
RNA5S14	chr1	228775084	228775202	(-)
RNA5S15	chr1	228777315	228777433	(-)
RNU6-208P	chr16	71699994	71700100	(+)
RNA5S16	chr1	228779556	228779674	(-)
RNA5S17	chr1	228781787	228781905	(-)
RNA5SP67	chr1	173890208	173890338	(+)
RNA5SP221	chr6	143770946	143771048	(+)
RNU6-40P	chr1	31970419	31970525	(-)
RNU6-811P	chr10	37424165	37424271	(+)
RNA5SP174	chr4	190936293	190936410	(+)
RN7SKP163	chr6	76364686	76365015	(-)
RNU6ATAC	chr9	137029561	137029686	(-)
RNA5SP96	chr2	69409029	69409135	(-)
RN7SL583P	chr1	88943514	88943797	(-)
RN7SL234P	chr6	149612488	149612780	(+)
RNA5SP515	chrX	134562093	134562210	(-)
BCYRN1	chr2	47558199	47571656	(+)
RNA5SP223	chr6	152731410	152731529	(+)
RNA5SP228	chr7	24172324	24172456	(+)
RNA5SP225	chr6	153741573	153741707	(+)
RN7SKP229	chr1	181808608	181808909	(-)
RNA5SP71	chr1	182913500	182913625	(-)
RN7SKP79	chr5	6848240	6848575	(-)
RNU6-41P	chr1	182951347	182951453	(-)
RNA5SP194	chr5	138348018	138348130	(+)
RNA5SP176	chr5	7047340	7047449	(+)
RNA5SP195	chr5	138635541	138635657	(+)
RN7SL183P	chr6	88555368	88555663	(+)
RNA5SP53	chr1	93953890	93954009	(-)
RNA5SP206	chr6	32046285	32046405	(-)
RN7SKP217	chr15	77028982	77029321	(+)
RNU6-880P	chr1	43457109	43457215	(+)
RNA5SP73	chr1	189635279	189635386	(-)
RN7SKP55	chr1	245107212	245107518	(+)
RNU6-1266P	chr10	79536709	79536813	(-)
RNY4P10	chr6	33167378	33167472	(+)
RNA5SP505	chrX	53935488	53935595	(+)
RN7SL261P	chr1	147161375	147161681	(+)
RNU6ATAC5P	chr4	73892465	73892590	(+)
RNA5SP84	chr2	11657523	11657629	(+)
RN7SL674P	chr2	11724899	11725176	(+)
RNA5SP183	chr5	55073297	55073415	(+)
RNA5SP226	chr6	165823051	165823165	(+)
RNA5SP177	chr5	9761019	9761125	(+)
RNU6ATAC2P	chr5	55593391	55593516	(-)
RNU6-1323P	chrX	115984807	115984913	(-)
RNU6ATAC7P	chr17	29890787	29890913	(-)
RN7SL47P	chr6	106731290	106731586	(-)
RNA5SP211	chr6	106897256	106897372	(+)
RNU6-658P	chr5	74020924	74021029	(-)
RN7SL752P	chr3	129310192	129310488	(+)
RNU6-3P	chrX	140212215	140212321	(-)
RN7SKP237	chr4	140606281	140606581	(-)
RNU6-487P	chr1	203288124	203288227	(-)
RNU6-145P	chr4	77453375	77453480	(-)
RNU6-656P	chr8	47742672	47742778	(+)
RNU6-775P	chr2	55678140	55678235	(-)
RNA5SP149	chr3	179879674	179879765	(-)
RNA5SP469	chr19	21295934	21296042	(-)
RNU6-111P	chr2	73525811	73525915	(+)
RN7SL44P	chr1	153472943	153473240	(-)
RN7SKP90	chr11	16863800	16864134	(+)
RNU6-45P	chr11	63737942	63738048	(+)
RNA5SP431	chr16	79298351	79298470	(+)
RNU6-31P	chr2	201694732	201694839	(+)
RN7SKP189	chrX	144138628	144138957	(+)
RNU6-36P	chr12	98115494	98115600	(+)
RNA5SP496	chr22	31701390	31701498	(+)
RNU6-28P	chr22	31875369	31875475	(-)
RNA5SP95	chr2	61225887	61226023	(+)
RN7SKP203	chr2	76672205	76672536	(-)
RNY3P1	chr5	78466057	78466158	(-)
RN7SL216P	chr3	25061654	25061954	(-)
RN7SKP48	chr4	86021649	86021976	(+)
RNA5SP366	chr12	99477561	99477683	(-)
RNA5SP335	chr11	19423419	19423528	(-)
RNA5SP336	chr11	21022427	21022543	(-)
RNA5SP338	chr11	22709897	22709981	(+)
RNY4	chr7	148660407	148660502	(+)
RNY3	chr7	148680847	148680948	(+)
RNY1	chr7	148684228	148684340	(-)
RNU6-1225P	chrX	67321910	67321974	(-)
RNA5SP198	chr5	151255127	151255253	(-)
RNA5SP349	chr11	108991605	108991713	(-)
RNA5SP99	chr2	81723338	81723451	(-)
RN7SL201P	chr2	82194203	82194496	(+)
RNA5SP166	chr4	149479099	149479200	(+)
RNU6ATAC31P	chr4	89127579	89127704	(-)
RNU6-33P	chr4	89605999	89606105	(-)
RNU6-885P	chr10	43327895	43327998	(-)
RNA5SP272	chr8	89408666	89408776	(-)
RN7SKP239	chr11	67129885	67130179	(+)
RNA5SP273	chr8	91523356	91523468	(+)
RNU6-34P	chr4	97073448	97073554	(-)
RNA5SP355	chr12	28658327	28658461	(+)
RNU6-44P	chr11	112223279	112223385	(-)
RNU6-1140P	chr2	238471808	238471913	(+)
RNU6-1285P	chr4	155465085	155465189	(-)
RNA5SP199	chr5	155272447	155272538	(+)
RNU6-4P	chr3	180949525	180949631	(+)
RNA5SP122	chr2	242524383	242524490	(+)
RN7SL381P	chr16	85692984	85693279	(+)
RNA5SP150	chr3	181540660	181540778	(-)
RNA5SP251	chr8	3558014	3558150	(+)
RNA5SP151	chr3	182976088	182976204	(-)
RNA5SP368	chr12	102173592	102173707	(+)
RNU6-46P	chr11	67663102	67663208	(+)
RN7SKP86	chr7	103124655	103124986	(-)
RNA5SP141	chr3	134502278	134502397	(-)
RN7SL648P	chrX	73462445	73462736	(-)
RNU6-47P	chr5	108350535	108350641	(-)
RPPH1	chr14	20811207	20811844	(-)
RN7SKP230	chr5	109035201	109035535	(-)
RNU6-222P	chr19	55380394	55380500	(-)
RN7SL733P	chr10	88913843	88914126	(-)
RNA5SP343	chr11	73909793	73909899	(-)
RNA5SP426	chr16	50903366	50903486	(-)
RNA5SP370	chr12	104519014	104519134	(+)
RN7SKP227	chr3	36726531	36726860	(+)
RNA5SP358	chr12	38555268	38555384	(-)
RNA5SP359	chr12	38557205	38557317	(-)
RN7SKP284	chr3	86411282	86411624	(+)
RN7SL371P	chr7	69001035	69001303	(-)
RNA5SP352	chr11	124506355	124506488	(+)
RNA5SP473	chr19	58874805	58874929	(+)
RNA5SP440	chr17	36888055	36888173	(-)
RN7SL132P	chr7	34793036	34793333	(+)
RNA5SP129	chr3	37383140	37383257	(+)
RNA5SP86	chr2	20601388	20601485	(-)
RNA5SP444	chr17	64263861	64263966	(+)
RNA5SP441	chr17	38530341	38530428	(+)
RNA5SP445	chr17	64635387	64635501	(+)
RN7SKP25	chr3	142392439	142392746	(+)
RN7SKP166	chr12	66686463	66686767	(+)
RNU6-20P	chr16	57864440	57864546	(-)
RNA5SP376	chr12	131784185	131784296	(-)
RN7SL856P	chr2	25280901	25281196	(+)
RNA5SP442	chr17	39874406	39874512	(+)
RNA5SP250	chr7	152290058	152290176	(-)
RN7SL174P	chr5	118642039	118642326	(-)
RNA5SP377	chr12	132145608	132145719	(+)
RNU6-21P	chr16	62221444	62221550	(-)
RNA5SP144	chr3	143905747	143905862	(-)
RNA5SP428	chr16	66335712	66335843	(+)
RN7SL543P	chr16	67053422	67053718	(+)
RN7SKP118	chr16	67355561	67355890	(-)
RNU6-271P	chr10	97872504	97872608	(+)
RN7SKP71	chr12	112704881	112705198	(+)
RNU6-647P	chr2	32439525	32439631	(-)
RNA5SP324	chr10	98379133	98379240	(+)
RNA5SP519	chrY	9930484	9930602	(-)
RNU6-11P	chr7	123430659	123430765	(-)
RNA5SP387	chr14	76070516	76070621	(+)
RN7SL546P	chr14	103049227	103049514	(-)
RN7SKP180	chr17	70659962	70660291	(-)
RNU6-25P	chr3	194935516	194935622	(+)
RNU6-864P	chr14	29451509	29451616	(-)
RNA5SP448	chr17	72413733	72413843	(-)
RNA5SP388	chr14	78644146	78644264	(-)
RNA5SP318	chr10	55217957	55218048	(+)
RNU6-43P	chr10	104351281	104351387	(+)
RNA5SP130	chr3	49504548	49504661	(-)
RNA5SP145	chr3	150905886	150906010	(+)
RNU6-7	chr14	32671251	32671357	(+)
RNU6-8	chr14	32672369	32672475	(-)
RNU6ATAC28P	chr14	84216728	84216845	(+)
RNA5SP242	chr7	128337493	128337610	(+)
RNA5SP243	chr7	128337764	128337798	(+)
RN7SL767P	chr3	113351551	113351827	(+)
RNA5SP325	chr10	108729779	108729908	(+)
RNU6-1125P	chr7	54688718	54688824	(+)
RN7SL582P	chr3	116301401	116301677	(-)
RNA5SP363	chr12	80272085	80272199	(-)
RNA5SP245	chr7	129667117	129667237	(+)
RNA5SP319	chr10	70221164	70221282	(+)
RNU6-17P	chr15	30546605	30546711	(-)
RNU6-18P	chr15	32576353	32576459	(+)
RNA5SP131	chr3	50457212	50457330	(+)
RNA5SP298	chr10	327955	328065	(-)
RN7SL199P	chr17	44614900	44615180	(+)
RNU6-1201P	chr17	46166040	46166146	(-)
RNA5SP392	chr15	40623738	40623849	(-)
RN7SL1	chr14	50053297	50053596	(+)
RNU6ATAC26P	chr3	57605174	57605299	(+)
RNU6-535P	chr10	7528665	7528771	(-)
RNU6-10P	chr7	92331022	92331128	(-)
RNU6-646P	chr3	196435730	196435835	(-)
RNU6-42P	chr3	196511851	196511957	(-)
RNU6-9	chr19	893484	893590	(+)
RNU6-2	chr19	1021521	1021627	(+)
RN7SL198P	chr10	12370135	12370388	(-)
RNU6-6P	chr10	13259269	13259375	(+)
RNA5SP301	chr10	13769796	13769916	(+)
RNU6-15P	chr10	21610890	21610996	(+)
RNA5SP152	chr4	8394742	8394851	(+)
RNA5SP304	chr10	23286184	23286287	(+)
RN7SKP132	chr10	28072775	28072982	(-)
RNA5SP308	chr10	29163322	29163436	(-)
RNA5SP500	chrX	29000969	29001087	(-)
RNU6-49P	chrX	37729362	37729468	(+)
RN7SL732P	chrX	39645780	39646077	(-)
RNA5SP502	chrX	41152051	41152169	(+)
RN7SL50P	chr18	8471829	8472124	(+)
RNA5SP450	chr18	9923917	9924018	(+)
RN7SL362P	chr18	13715099	13715367	(-)
RNA5SP452	chr18	21750469	21750587	(-)
RN7SL5P	chr9	9442060	9442347	(+)
RNU6-14P	chr9	15776179	15776284	(-)
RN7SL151P	chr9	21699313	21699569	(+)
RNU6-37P	chr1	10359024	10359130	(+)
RN7SKP228	chr7	12916309	12916571	(+)
RNA5SP435	chr17	6504264	6504371	(-)
RNA5SP124	chr3	14436148	14436257	(+)
RNU6ATAC	chr9	137029561	137029686	(-)
RNU6-20P	chr16	57864448	57864554	(-)
RN7SL199P	chr17	44102810	44103090	(+)
RNA5SP505	chrX	53652054	53652161	(+)
RNU6-30P	chrX	100888993	100889099	(-)
RNU6-587P	chrX	100946567	100946672	(+)
RNA5SP515	chrX	134562197	134562314	(-)
RNU6-3P	chrX	140200195	140200301	(-)
RNA5SP389	chr14	107103009	107103123	(+)
RNU6-222P	chr19	55372194	55372300	(-)
RNU6-707P	chrX	48013379	48013473	(-)
RNU6-29P	chrX	48636364	48636470	(-)
RN7SKP189	chrX	144138825	144139154	(+)
RNU6-383P	chrX	150037216	150037309	(-)
